ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
600529.SH,20200324,31.13,31.85,30.55,31.6,30.59,1.01,3.3017,41860.01,130828.153,0.032483962
600529.SH,20200325,32.4,33.13,31.8,32.85,31.6,1.25,3.9557,51078.56,166520.347,0.038794624
600529.SH,20200326,32.53,33.73,32.31,33.25,32.85,0.4,1.2177,42531.07,141677.503,0.012103022
600529.SH,20200327,33.71,34.65,33.65,33.99,33.25,0.74,2.2256,59197.49,201925.37,0.022011597
600529.SH,20200330,33.55,33.71,32.68,33.25,33.99,-0.74,-2.1771,25039.25,83389.739,-0.022011597
600529.SH,20200331,33.55,34.36,33.2,33.58,33.25,0.33,0.9925,35852.32,120872.115,0.009875885
600529.SH,20200401,33.57,34.22,32.62,33.1,33.58,-0.48,-1.4294,43087.16,144495.13,-0.014397369
600529.SH,20200402,33.2,33.2,31.8,32.7,33.1,-0.4,-1.2085,40319.52,131123.033,-0.012158204
600529.SH,20200403,32.95,32.96,31.42,32.12,32.7,-0.58,-1.7737,52551.85,168463.594,-0.017896189
600529.SH,20200407,32.55,33.15,31.91,32.7,32.12,0.58,1.8057,66663.65,216427.207,0.017896189
600529.SH,20200408,32.6,34.5,32.29,34.29,32.7,1.59,4.8624,65586.36,221034.784,0.047478689
600529.SH,20200409,34,35.56,33.91,35.48,34.29,1.19,3.4704,69207.84,241994.948,0.034115391
600529.SH,20200410,35.49,35.66,34.35,34.78,35.48,-0.7,-1.9729,37136.03,129958.507,-0.019926649
600529.SH,20200413,34.5,35.84,34.3,35.33,34.78,0.55,1.5814,32248,113507.302,0.015689952
600529.SH,20200414,35.31,35.85,34.8,35.64,35.33,0.31,0.8774,27017.41,95656.681,0.008736141
600529.SH,20200415,35.65,36.08,34.52,34.69,35.64,-0.95,-2.6655,31796.04,111476.263,-0.027017142
600529.SH,20200416,34.96,35.39,33.9,35.05,34.69,0.36,1.0378,43613.59,151849.487,0.010324152
600529.SH,20200417,35.4,35.44,34.3,34.39,35.05,-0.66,-1.883,40958.04,143145.064,-0.019009789
600529.SH,20200420,34.54,35.47,34.54,35.14,34.39,0.75,2.1809,40378.77,141796.553,0.021574258
600529.SH,20200421,35.1,35.34,34.26,34.75,35.14,-0.39,-1.1098,30532,105965.908,-0.011160511
600529.SH,20200422,34.71,36.13,33.93,36.11,34.75,1.36,3.9137,45738.05,161610.781,0.038390263
600529.SH,20200423,36.09,36.68,35.8,36.18,36.11,0.07,0.1939,40758.76,147464.731,0.001936645
600529.SH,20200424,36.19,37.14,35.8,36.49,36.18,0.31,0.8568,40409.42,147265.14,0.00853177
600529.SH,20200427,36.15,36.87,36.01,36.3,36.49,-0.19,-0.5207,36330.37,132105.06,-0.005220509
600529.SH,20200428,36.9,39.85,36.9,39.3,36.3,3,8.2645,110732.13,431633.43,0.079406778
600529.SH,20200429,39.17,39.42,38.5,38.7,39.3,-0.6,-1.5267,55247.08,215277.334,-0.015384919
600529.SH,20200430,39.16,39.45,37.07,37.66,38.7,-1.04,-2.6873,63020.46,238687.141,-0.027241077
600529.SH,20200506,37.57,40.91,36.81,40.39,37.66,2.73,7.2491,73174.63,288970.43,0.069983706
600529.SH,20200507,40.25,41.12,39.81,40.4,40.39,0.01,0.0248,47805.63,193567.713,0.000247555
600529.SH,20200508,40.4,42.99,40.3,41.53,40.4,1.13,2.797,65077.82,272576.419,0.027586273
600529.SH,20200511,45.65,45.65,40,40.98,41.53,-0.55,-1.3243,147827.52,623126.484,-0.013331915
600529.SH,20200512,40.94,44.24,40.54,42.45,40.98,1.47,3.5871,111492.95,474247.306,0.03524277
600529.SH,20200513,43,45.76,42.5,45.61,42.45,3.16,7.4441,137047.3,604417.838,0.071800078
600529.SH,20200514,44.83,45.29,43.85,44.5,45.61,-1.11,-2.4337,79957.94,357522.726,-0.024637802
600529.SH,20200515,44.73,46.78,41.8,43.5,44.5,-1,-2.2472,123151.44,541359.625,-0.022728251
600529.SH,20200518,42.03,46.25,42.03,44.85,43.5,1.35,3.1034,101166.49,447598.049,0.03056265
600529.SH,20200519,45.5,45.98,43.88,44.68,44.85,-0.17,-0.379,84576.85,376664.278,-0.003797614
600529.SH,20200520,44.4,45.11,43.5,43.88,44.68,-0.8,-1.7905,68271.02,301803.509,-0.018067339
600529.SH,20200521,43.92,44.4,43.03,43.4,43.88,-0.48,-1.0939,59358.32,258317.841,-0.010999194
600529.SH,20200522,43.01,43.58,42.36,43.19,43.4,-0.21,-0.4839,58898.59,253554.485,-0.004850454
600529.SH,20200525,43.32,44.35,42.2,44,43.19,0.81,1.8754,74145.85,321061.571,0.018580647
600529.SH,20200526,43.79,44.78,43.12,44.53,44,0.53,1.2045,55099.07,244208.89,0.011973485
600529.SH,20200527,44.6,44.9,43.8,43.96,44.53,-0.57,-1.28,38719.56,171047.99,-0.01288299
600529.SH,20200528,44,45.58,43.72,44.93,43.96,0.97,2.2066,48344.28,216285.484,0.021825594
600529.SH,20200529,44.66,46.58,44.1,45.93,44.93,1,2.2257,56983.31,259438.917,0.022012775
600529.SH,20200601,46.06,46.5,44.49,46.39,45.93,0.46,1.0015,80549.04,366210.443,0.00996542
600529.SH,20200602,46.16,46.16,44.9,45.52,46.39,-0.87,-1.8754,55032.83,250145.413,-0.018932129
600529.SH,20200603,45.4,45.56,43.91,44.04,45.52,-1.48,-3.2513,66653.94,296465.524,-0.033053478
600529.SH,20200604,44,44.29,42.93,43.27,44.04,-0.77,-1.7484,60563.53,262876.741,-0.017638758
600529.SH,20200605,43.23,44.61,43.12,44.56,43.27,1.29,2.9813,54490.93,240670.773,0.029377041
600529.SH,20200608,44.78,45.88,43.23,43.91,44.56,-0.65,-1.4587,69332.17,306315.404,-0.014694511
600529.SH,20200609,43.1,44.45,43.1,44.07,43.91,0.16,0.3644,42234.18,186154.97,0.003637194
600529.SH,20200610,44.2,46.3,43.51,45.97,44.07,1.9,4.3113,78237.2,353611.531,0.042209731
600529.SH,20200611,45.55,46.4,45.3,45.9,45.97,-0.07,-0.1523,56539.17,259375.753,-0.001523893
600529.SH,20200612,45.15,48.86,45,46.59,45.9,0.69,1.5033,118398.32,563938.321,0.014920809
600529.SH,20200615,48.48,49.69,47.56,47.98,46.59,1.39,2.9835,140585.86,683289.515,0.029398332
600529.SH,20200616,47.98,48.84,47.28,48.15,47.98,0.17,0.3543,68709.33,331099.379,0.003536881
600529.SH,20200617,48.99,51.25,48.16,48.4,48.15,0.25,0.5192,101079.28,498625.08,0.005178675
600529.SH,20200618,48,48.24,46.31,46.8,48.4,-1.6,-3.3058,67098.15,315885.493,-0.033616611
600529.SH,20200619,47.68,49.19,46.78,48.89,46.8,2.09,4.4658,74732.54,360874.379,0.043689674
600529.SH,20200622,48.95,49.87,47.96,48.28,48.89,-0.61,-1.2477,68677.86,333790.068,-0.01255548
600529.SH,20200623,48.4,51.7,48.36,51.02,48.28,2.74,5.6752,121947.56,614729.828,0.055200316
600529.SH,20200624,51.55,52.9,50.22,51.2,51.02,0.18,0.3528,103378.91,530746.473,0.003521819
600529.SH,20200629,52.8,56.32,52.77,56.32,51.2,5.12,10,327364.21,1826159.955,0.09531018
600529.SH,20200630,56.32,60.4,55.81,58,56.32,1.68,2.983,288620.48,1683467.534,0.029393299
600529.SH,20200701,58.58,58.58,54.29,54.81,58,-3.19,-5.5,239991.19,1335842.132,-0.056570351
600529.SH,20200702,54.04,54.35,51.7,54.25,54.81,-0.56,-1.0217,197555.38,1051322.654,-0.010269667
600529.SH,20200703,53.5,55.72,52.72,53.45,54.25,-0.8,-1.4747,240926.67,1307747.067,-0.014856355
600529.SH,20200706,53.92,55.85,52.58,54.82,53.45,1.37,2.5631,270156.28,1466405.402,0.025308453
600529.SH,20200707,54.51,57.5,52.88,56.64,54.52,2.12,3.8885,306112.2,1675374.674,0.038147843
600529.SH,20200708,56.5,57.9,55.3,56.6,56.64,-0.04,-0.0706,228743.09,1293813.725,-0.000706464
600529.SH,20200709,56.59,61.89,55.37,59.93,56.6,3.33,5.8834,312370.14,1813729.815,0.057168229
600529.SH,20200710,59,64.8,58.5,62.8,59.93,2.87,4.7889,303670.62,1900312.947,0.046777859
600529.SH,20200713,63.6,69,63,63.04,62.8,0.24,0.3822,381918.55,2477630.286,0.003814372
600529.SH,20200714,62,63,58.33,60.05,63.04,-2.99,-4.743,308975.22,1876250.942,-0.048591897
600529.SH,20200715,60.02,63.47,59.05,62.2,60.05,2.15,3.5803,269283.94,1657871.18,0.035177451
600529.SH,20200716,61.58,61.58,55.98,56.22,62.2,-5.98,-9.6141,245343.9,1442630.654,-0.101082434
600529.SH,20200717,55.03,58.85,55.03,57.88,56.22,1.66,2.9527,196403.26,1126951.414,0.029099336
600529.SH,20200720,58.35,58.5,55.54,57,57.88,-0.88,-1.5204,198289.24,1125197.317,-0.015320634
600529.SH,20200721,57.57,60.39,56.56,60.38,57,3.38,5.9298,228296.73,1337720.017,0.057606656
600529.SH,20200722,59.5,60.97,59.25,59.8,60.38,-0.58,-0.9606,205768.47,1237294.903,-0.009652263
600529.SH,20200723,59.77,63.6,59,63.6,59.8,3.8,6.3545,345559.19,2143851.09,0.061607809
600529.SH,20200724,63.45,66.49,60.68,60.72,63.6,-2.88,-4.5283,359587.8,2266594.129,-0.046340337
600529.SH,20200727,60.77,64.37,60.73,64.11,60.72,3.39,5.583,306272.02,1917332.382,0.054327225
600529.SH,20200728,64,65.98,62.35,63.24,64.11,-0.87,-1.357,277421.88,1770154.12,-0.013663346
600529.SH,20200729,63.36,65.93,62.21,64.44,63.24,1.2,1.8975,310595.42,1998882.667,0.018797546
600529.SH,20200730,64.45,69.45,63.68,67.1,64.44,2.66,4.1279,396219.66,2653692.914,0.040449486
600529.SH,20200731,65.8,72.47,65.51,71.1,67.1,4,5.9613,390022.15,2681762.953,0.057903293
600529.SH,20200803,72.13,76.34,71.38,76.34,71.1,5.24,7.3699,409868.68,3024111.954,0.071109711
600529.SH,20200804,76.35,76.85,68.71,68.71,76.34,-7.63,-9.9948,504095.34,3613027.826,-0.105302298
600529.SH,20200805,65.9,69.78,62.5,66.9,68.71,-1.81,-2.6343,420740.95,2771539.827,-0.026695782
600529.SH,20200806,66,66.49,62.57,63.05,66.9,-3.85,-5.7549,366550.77,2335920.819,-0.059270905
600529.SH,20200807,63.05,65.99,61.76,64.77,63.05,1.72,2.728,307335.96,1956645.629,0.026914471
600529.SH,20200810,63.87,64.05,61.5,62.28,64.77,-2.49,-3.8444,261651.46,1630106.956,-0.039202186
600529.SH,20200811,62.1,63.19,58.25,58.54,62.28,-3.74,-6.0051,376981.74,2267004.71,-0.061930066
600529.SH,20200812,59,59.4,54.5,56.08,58.54,-2.46,-4.2023,297998.75,1673043.469,-0.042931039
600529.SH,20200813,56.88,57.55,55.43,57,56.08,0.92,1.6405,215724.36,1223424.194,0.016272025
600529.SH,20200814,56.5,57.39,55.5,56.82,57,-0.18,-0.3158,163779.65,923932.237,-0.003162891
600529.SH,20200817,57.1,59.26,56.8,58.85,56.82,2.03,3.5727,241547.41,1403640.987,0.035103457
600529.SH,20200818,58,58,55,56.39,58.85,-2.46,-4.1801,392115.46,2204072.333,-0.042699996
600529.SH,20200819,56.02,56.02,51.45,51.5,56.39,-4.89,-8.6718,423755.81,2261592.848,-0.09071003
600529.SH,20200820,51,53.15,49.72,51.6,51.5,0.1,0.1942,242024.66,1254887.541,0.001939865
600529.SH,20200821,51.7,52.08,50.09,50.64,51.6,-0.96,-1.8605,197386.14,1008693.259,-0.018779895
600529.SH,20200824,51.2,52.18,49.85,51.75,50.64,1.11,2.1919,192298.44,987419.082,0.021682654
