ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200316,128,128.88,118.89,119.06,132.1,-13.04,-9.8713,490484.85,5992811.655,-0.103931644
300750.SZ,20200317,121,122.93,111.25,117.95,119.06,-1.11,-0.9323,392203.28,4571660.103,-0.009366762
300750.SZ,20200318,118.9,123.5,116,117.35,117.95,-0.6,-0.5087,313383.76,3757216.35,-0.005099884
300750.SZ,20200319,119,119.5,111.69,115.04,117.35,-2.31,-1.9685,331563.07,3803916.536,-0.019881028
300750.SZ,20200320,118,119.7,113.22,115.86,115.04,0.82,0.7128,225142.2,2615607.081,0.007102672
300750.SZ,20200323,110.8,111.57,105.01,107.48,115.86,-8.38,-7.2329,307618.09,3324031.004,-0.075077782
300750.SZ,20200324,110.6,112.88,107,111.57,107.48,4.09,3.8054,291169.96,3222263.478,0.037347413
300750.SZ,20200325,116.2,122.18,116,121,111.57,9.43,8.4521,385928.46,4603104.636,0.081138349
300750.SZ,20200326,119.01,122.35,118.3,119.63,121,-1.37,-1.1322,194370.9,2344662.56,-0.011386899
300750.SZ,20200327,122.21,123.33,117.36,118.71,119.63,-0.92,-0.769,174990.77,2101160.34,-0.007720102
300750.SZ,20200330,116,120.64,110.7,119.31,118.71,0.6,0.5054,261655.39,3010412.506,0.005041604
300750.SZ,20200331,120.27,123.13,117.86,120.39,119.31,1.08,0.9052,194851.92,2350421.157,0.009011325
300750.SZ,20200401,123.1,125.56,119.08,120.4,120.39,0.01,0.0083,298950.88,3664714.147,8.30599E-05
300750.SZ,20200402,117.5,123.6,116.71,123.6,120.4,3.2,2.6578,209588.36,2523168.23,0.026231012
300750.SZ,20200403,124.65,125,119.8,121,123.6,-2.6,-2.1036,182204.15,2225897.354,-0.021259999
300750.SZ,20200407,123.6,126.09,123.02,124.7,121,3.7,3.0579,183728.89,2284706.364,0.030120307
300750.SZ,20200408,123.9,125.49,122.6,123,124.7,-1.7,-1.3633,119469.73,1479285.37,-0.013726497
300750.SZ,20200409,123.98,124.48,119.81,120.21,123,-2.79,-2.2683,160527.78,1944405.072,-0.022944142
300750.SZ,20200410,121.15,123.07,117.93,118.46,120.21,-1.75,-1.4558,145695.54,1748457.124,-0.014664862
300750.SZ,20200413,114.9,116.99,113.08,114.69,118.46,-3.77,-3.1825,124581.36,1432291.941,-0.032342514
